item_id,name,price,category,description,merchant_id,date_listed
W1UN9,Housing 525118256,1254.63,Housing,,G6UPG,6/13/2022
TW1LD,Housing 967191756,1209.81,Housing,,8K3RE,2/24/2022
DKKV7,Housing 617197180,857.98,Housing,,R2YNB,2/6/2022
QJ9A3,Housing 569184281,31.51,Housing,,1149O,4/8/2022
Q9UXC,Housing 831114098,1063.37,Housing,"Unbox the package to find a soft, plush, sparkly doll!",TH5WQ,5/9/2022
PDTL7,Housing 70820942,1301.85,Housing,,SB3L6,5/18/2022
JG5JZ,Housing 585149584,42.4,Housing,for everyday use,AXYFV,6/21/2022
AVUUC,Housing 78153811,1763.24,Housing,For everyday office use,GPYLB,4/12/2022
H7MCZ,Housing 91864287,1144.77,Housing,,0BMS5,5/10/2022
G8TKY,Housing 54365170,1818.79,Housing,100% Synthetic,6IPKS,2/25/2022
N8G08,Housing 88022122,891.13,Housing,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",0V5C9,8/1/2022
FN7WM,Housing 9897486,734.37,Housing,,JWXSS,1/13/2022
IN5NP,Housing 53574502,1892.8,Housing,for everyday use,05M7F,2/1/2022
JWTLV,Housing 905192427,70.96,Housing,,4Z5VC,7/22/2022
6JFVP,Housing 67290475,722.72,Housing,,PVB4C,3/25/2022
Z1KAJ,Housing 710197721,1688.41,Housing,,AWFGJ,5/19/2022
EKH68,Housing 812139875,1160.84,Housing,100% Synthetic,1JA6J,5/6/2022
II4C7,Housing 903105872,652.13,Housing,For your lovely pet,RSBL9,10/1/2022
MQUQQ,Housing 76356979,351.56,Housing,"Unbox the package to find a soft, plush, sparkly doll!",078O0,5/25/2022
Q6S50,Housing 687193994,158.9,Housing,One of a kind stainless steel,PV7VX,3/6/2022
S6HXW,Housing 882123634,801.6,Housing,"Unbox the package to find a soft, plush, sparkly doll!",NUPCW,5/24/2022
63C4G,Housing 669192836,1143.9,Housing,for everyday use,QTM9A,7/31/2022
DI9MA,Housing 60464898,608.3,Housing,Imported,F1I7H,4/11/2022
YJOSM,Housing 70261153,1852.16,Housing,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",XWXLZ,9/9/2022
CVK3Y,Housing 577148115,1464.51,Housing,,MK3V5,3/7/2022
G71SV,Housing 712116937,1148.93,Housing,One of a kind stainless steel,6ZG2P,10/26/2022
HJZ38,Housing 71425651,1073.99,Housing,For everyday office use,N169E,9/20/2022
FCJU5,Housing 812163580,1624.65,Housing,For your lovely pet,7CIPO,2/15/2022
OWG9N,Housing 75265393,499.18,Housing,100% Synthetic,OZBPO,7/3/2022
M69W2,Housing 75520599,1475.71,Housing,,0V5C9,5/1/2022
YBPFT,Housing 85489385,85.64,Housing,For your lovely pet,GPYLB,3/1/2022
Y875G,Housing 860172109,67.25,Housing,For everyday office use,JUDOH,10/15/2022
