item_id,frequency
W1UN9,quarterly
TW1LD,yearly
DKKV7,monthly
QJ9A3,weekly
Q9UXC,yearly
PDTL7,weekly
JG5JZ,quarterly
AVUUC,daily
H7MCZ,weekly
G8TKY,yearly
N8G08,quarterly
FN7WM,quarterly
IN5NP,once
JWTLV,quarterly
6JFVP,weekly
Z1KAJ,monthly
EKH68,once
II4C7,quarterly
MQUQQ,daily
Q6S50,weekly
S6HXW,daily
63C4G,yearly
DI9MA,weekly
YJOSM,monthly
CVK3Y,daily
G71SV,daily
HJZ38,weekly
FCJU5,once
OWG9N,quarterly
M69W2,weekly
YBPFT,daily
Y875G,monthly
I6SAJ,monthly
6K6I7,daily
INKF4,once
7FFU2,monthly
6CYXV,once
WCXLV,weekly
U1J61,weekly
2T904,yearly
NS9ZE,monthly
GY0E9,once
RGR3Q,monthly
SPNFJ,once
2DS61,daily
3Q8K2,once
YNQYO,weekly
BG37L,once
NE5IF,weekly
5JZ1Z,quarterly
FXAST,quarterly
6IF6C,quarterly
ZO9MC,monthly
LGJQL,quarterly
Y8W94,once
DI3IQ,once
TXLA4,yearly
JJDHJ,weekly
RVLZQ,once
U5V46,quarterly
HD377,yearly
GIJNW,yearly
J52AU,quarterly
7CT21,daily
BDMK5,monthly
6WPC0,yearly
2XC7O,monthly
7L80Q,monthly
GI3W6,monthly
7D3PZ,quarterly
UEWB2,once
IVKBC,monthly
LI6HU,daily
OAOYI,quarterly
3C0M7,monthly
KDGIQ,weekly
SGPTE,once
9P1PN,quarterly
NZW1Q,weekly
NZOSU,daily
QZND7,yearly
0V8OE,yearly
NGTTM,monthly
42GKH,daily
FUB36,weekly
LC7LK,daily
Q3SR7,weekly
8QWWQ,quarterly
CO260,weekly
NRKL2,monthly
ULFV3,daily
5E4S3,weekly
XEQNI,daily
LD09B,weekly
J348U,daily
2EF8S,once
OSKPM,daily
Y7WR8,quarterly
3J8RD,once
K3CH7,daily
MK4DM,once
Z4YDL,monthly
IIYX7,weekly
64ORQ,yearly
YV0WJ,quarterly
TCM7S,yearly
PWHNO,daily
IPKWV,weekly
D3L74,monthly
JOO06,once
ZAS9T,weekly
GSYZV,daily
AX2ST,monthly
XQ007,once
ELKUK,quarterly
O3FA4,quarterly
WENO4,weekly
JBCZI,daily
DU4D5,quarterly
2MAMO,yearly
DCZWA,daily
IYBNO,once
66K5E,weekly
HWFRW,daily
RU8L8,monthly
XHTJY,yearly
TY17E,monthly
YSPI9,monthly
FA2SR,weekly
0UGGP,quarterly
QO90N,quarterly
MTR3Q,quarterly
C7BL9,yearly
Q1220,yearly
5J1AW,once
KY6SR,daily
QNYMF,quarterly
ILWIQ,monthly
RAJQE,quarterly
E5WMF,monthly
0BI2Z,weekly
9OXDJ,quarterly
BK7L2,once
EHME0,once
ASSPL,once
LY99M,daily
SRE2K,quarterly
RBZSX,monthly
PMG2K,quarterly
FUBCU,weekly
ZK93L,daily
HJ2KC,daily
L5WIC,monthly
4SJQM,weekly
FSCOL,quarterly
89FNW,monthly
6Z0GW,yearly
OLZ4H,monthly
ZAP4N,quarterly
H89DV,quarterly
F19QM,once
6FJY0,daily
I7SX0,yearly
OL11S,yearly
U9PQK,monthly
FI4JE,once
ME6NS,once
6WVRX,monthly
3BLQ4,once
X77OD,daily
V7KJA,quarterly
CEYPE,monthly
U0JUO,weekly
651I2,quarterly
I7YGL,quarterly
JD0UD,quarterly
VD22L,once
MJMZ8,daily
97MPY,daily
YN00B,yearly
J4PNO,monthly
GOBQL,weekly
2JBJM,daily
93VVK,monthly
4MFHY,weekly
1JLLF,daily
TBOK3,quarterly
2CYH2,yearly
YH03S,daily
431X6,monthly
TULAA,daily
RIWN8,daily
U4CV5,yearly
YU4EP,weekly
97CFO,once
DKSK7,daily
B2KQZ,once
FX8M6,monthly
J6GY1,quarterly
IBMNJ,yearly
1R09K,quarterly
W6GWC,monthly
D0VN1,quarterly
VPVQT,quarterly
3L5OC,daily
WSMPK,weekly
FSIIK,monthly
CWY3U,daily
IQ1AH,weekly
7Q3SH,quarterly
UDGB5,weekly
UP4DV,monthly
6S3Q1,yearly
HB6HJ,weekly
WFCZ6,yearly
IEO1T,once
G7824,daily
RUZTL,yearly
FU4CK,daily
4A8G0,weekly
X44ON,quarterly
13535,daily
PTUTJ,quarterly
DBLCG,quarterly
XC4M7,daily
AB5BZ,once
3LXFM,weekly
LKJAO,monthly
UWQLE,monthly
LRAQC,weekly
WOSYA,monthly
3LHR7,monthly
4U4EE,yearly
Y8AMU,once
G1DVG,quarterly
B1Q3X,once
504DR,daily
VWT7P,yearly
VWEE8,daily
V349Q,once
G06BL,daily
Z8T4K,weekly
2C8XO,daily
CU9YS,weekly
ADZWR,yearly
K22M7,weekly
YPZDA,daily
C8I6R,quarterly
DYSX3,quarterly
B53W6,once
